team_id,selecao,player_id,jogador,posicao,numero,altura,pe_preferido
4691,Algeria,802133,Luca Zidane,G,1,182.0,Right
4691,Algeria,1118193,Melvin Mastil,G,91,196.0,Right
4691,Algeria,1007589,Oussama Benbot,G,25,190.0,Left
4691,Algeria,1503088,Achref Abada,D,12,187.0,Right
4691,Algeria,122810,Aïssa Mandi,D,23,186.0,Right
4691,Algeria,1049534,Jaouen Hadjam,D,3,184.0,Left
4691,Algeria,1018018,Mohamed Tougai,D,15,191.0,Right
4691,Algeria,577726,Ramy Bensebaini,D,5,186.0,Left
4691,Algeria,931278,Rayan Aït-Nouri,D,21,179.0,Left
4691,Algeria,981168,Samir Sophian Chergui,D,31,185.0,Right
4691,Algeria,1018822,Zineddine Belaid,D,5,187.0,Right
4691,Algeria,1094482,Adil Boulbina,M,77,179.0,Right
4691,Algeria,1218066,Anis Hadj Moussa,M,23,176.0,Left
4691,Algeria,1192318,Farès Chaïbi,M,8,183.0,Right
4691,Algeria,985923,Hicham Boudaoui,M,6,176.0,Right
4691,Algeria,846081,Houssem Aouar,M,10,175.0,Right
4691,Algeria,368120,Nabil Bentaleb,M,6,187.0,Left
4691,Algeria,1103488,Rafik Belghali,M,7,177.0,Right
4691,Algeria,989882,Ramiz Zerrouki,M,6,183.0,Right
4691,Algeria,158213,Riyad Mahrez,M,7,179.0,Left
4691,Algeria,1094538,Yassine Titraoui,M,22,170.0,Both
4691,Algeria,1177807,Ahmed Nadhir Benbouali,F,7,190.0,Left
4691,Algeria,859026,Amine Gouiri,F,9,180.0,Right
4691,Algeria,1445228,Farès Ghedjemis,F,7,183.0,Left
4691,Algeria,1407524,Ibrahim Maza,F,30,181.0,Right
4691,Algeria,1107591,Mohamed Amoura,F,9,169.0,Right
4819,Argentina,158263,Emiliano Martínez,G,23,195.0,Right
4819,Argentina,128383,Gerónimo Rulli,G,1,189.0,Right
4819,Argentina,263651,Juan Musso,G,1,191.0,Right
4819,Argentina,829932,Cristian Romero,D,17,185.0,Right
4819,Argentina,860307,Facundo Medina,D,32,184.0,Left
